ChunkContent,Subject,Predicate,Object,Confidence,Expert Answer,Short Justification
"[0032] Not limiting examples of polymerizable difunctional (meth)acryloyl esters include 1,4 butane diol di(meth)acrylate, 1,6 hexanediol di(meth)acrylate, alkoxylated hexane diol di(meth)acrylate, 1,9 nonanediol di(meth)acrylate, 1,10 decanediol di(meth)acrylate, neopentyl glycol di(meth)acrylate, alkoxylated neopentyl glycol di(meth)acrylate, 2-methyl-1,8-octane diol di(meth)acrylate, cyclohexane dimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethylene glycol di(meth)acrylate, triethyleneglycol di(meth)acrylate, polyethylene glycol di(meth)acrylate, propylene glycol di(meth)acrylate, polypropylene glycol di(meth)acrylate, ethoxylated propylene glycol di(meth)acrylate, ethoxylated polypropylene glycol di(meth)acrylate, polyethoxypropoxy di(meth)acrylate, ethoxylated bisphenol A di(meth)acrylate, propoxylated bisphenol A di(meth)acrylate, propoxylated ethoxylated bisphenol A di(meth)acrylate, bisphenol A glycidyl methacrylate, tricyclodecanedimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethoxylated glycerin di(meth)acrylate, bis acrylamides, bis allyl ethers and allyl(meth)acrylates.
",Polymerizable (Meth)acrylate,includes,cyclohexane dimethanol di(meth)acrylate,0.95,,
"[0032] Not limiting examples of polymerizable difunctional (meth)acryloyl esters include 1,4 butane diol di(meth)acrylate, 1,6 hexanediol di(meth)acrylate, alkoxylated hexane diol di(meth)acrylate, 1,9 nonanediol di(meth)acrylate, 1,10 decanediol di(meth)acrylate, neopentyl glycol di(meth)acrylate, alkoxylated neopentyl glycol di(meth)acrylate, 2-methyl-1,8-octane diol di(meth)acrylate, cyclohexane dimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethylene glycol di(meth)acrylate, triethyleneglycol di(meth)acrylate, polyethylene glycol di(meth)acrylate, propylene glycol di(meth)acrylate, polypropylene glycol di(meth)acrylate, ethoxylated propylene glycol di(meth)acrylate, ethoxylated polypropylene glycol di(meth)acrylate, polyethoxypropoxy di(meth)acrylate, ethoxylated bisphenol A di(meth)acrylate, propoxylated bisphenol A di(meth)acrylate, propoxylated ethoxylated bisphenol A di(meth)acrylate, bisphenol A glycidyl methacrylate, tricyclodecanedimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethoxylated glycerin di(meth)acrylate, bis acrylamides, bis allyl ethers and allyl(meth)acrylates.
",Polymerizable (Meth)acrylate,includes,glycerin di(meth)acrylate,0.95,,
"[0032] Not limiting examples of polymerizable difunctional (meth)acryloyl esters include 1,4 butane diol di(meth)acrylate, 1,6 hexanediol di(meth)acrylate, alkoxylated hexane diol di(meth)acrylate, 1,9 nonanediol di(meth)acrylate, 1,10 decanediol di(meth)acrylate, neopentyl glycol di(meth)acrylate, alkoxylated neopentyl glycol di(meth)acrylate, 2-methyl-1,8-octane diol di(meth)acrylate, cyclohexane dimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethylene glycol di(meth)acrylate, triethyleneglycol di(meth)acrylate, polyethylene glycol di(meth)acrylate, propylene glycol di(meth)acrylate, polypropylene glycol di(meth)acrylate, ethoxylated propylene glycol di(meth)acrylate, ethoxylated polypropylene glycol di(meth)acrylate, polyethoxypropoxy di(meth)acrylate, ethoxylated bisphenol A di(meth)acrylate, propoxylated bisphenol A di(meth)acrylate, propoxylated ethoxylated bisphenol A di(meth)acrylate, bisphenol A glycidyl methacrylate, tricyclodecanedimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethoxylated glycerin di(meth)acrylate, bis acrylamides, bis allyl ethers and allyl(meth)acrylates.
",Polymerizable (Meth)acrylate,includes,ethylene glycol di(meth)acrylate,0.95,,
"[0032] Not limiting examples of polymerizable difunctional (meth)acryloyl esters include 1,4 butane diol di(meth)acrylate, 1,6 hexanediol di(meth)acrylate, alkoxylated hexane diol di(meth)acrylate, 1,9 nonanediol di(meth)acrylate, 1,10 decanediol di(meth)acrylate, neopentyl glycol di(meth)acrylate, alkoxylated neopentyl glycol di(meth)acrylate, 2-methyl-1,8-octane diol di(meth)acrylate, cyclohexane dimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethylene glycol di(meth)acrylate, triethyleneglycol di(meth)acrylate, polyethylene glycol di(meth)acrylate, propylene glycol di(meth)acrylate, polypropylene glycol di(meth)acrylate, ethoxylated propylene glycol di(meth)acrylate, ethoxylated polypropylene glycol di(meth)acrylate, polyethoxypropoxy di(meth)acrylate, ethoxylated bisphenol A di(meth)acrylate, propoxylated bisphenol A di(meth)acrylate, propoxylated ethoxylated bisphenol A di(meth)acrylate, bisphenol A glycidyl methacrylate, tricyclodecanedimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethoxylated glycerin di(meth)acrylate, bis acrylamides, bis allyl ethers and allyl(meth)acrylates.
",Polymerizable (Meth)acrylate,includes,triethyleneglycol di(meth)acrylate,0.95,,
"[0032] Not limiting examples of polymerizable difunctional (meth)acryloyl esters include 1,4 butane diol di(meth)acrylate, 1,6 hexanediol di(meth)acrylate, alkoxylated hexane diol di(meth)acrylate, 1,9 nonanediol di(meth)acrylate, 1,10 decanediol di(meth)acrylate, neopentyl glycol di(meth)acrylate, alkoxylated neopentyl glycol di(meth)acrylate, 2-methyl-1,8-octane diol di(meth)acrylate, cyclohexane dimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethylene glycol di(meth)acrylate, triethyleneglycol di(meth)acrylate, polyethylene glycol di(meth)acrylate, propylene glycol di(meth)acrylate, polypropylene glycol di(meth)acrylate, ethoxylated propylene glycol di(meth)acrylate, ethoxylated polypropylene glycol di(meth)acrylate, polyethoxypropoxy di(meth)acrylate, ethoxylated bisphenol A di(meth)acrylate, propoxylated bisphenol A di(meth)acrylate, propoxylated ethoxylated bisphenol A di(meth)acrylate, bisphenol A glycidyl methacrylate, tricyclodecanedimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethoxylated glycerin di(meth)acrylate, bis acrylamides, bis allyl ethers and allyl(meth)acrylates.
",Polymerizable (Meth)acrylate,includes,polyethylene glycol di(meth)acrylate,0.95,,
"[0032] Not limiting examples of polymerizable difunctional (meth)acryloyl esters include 1,4 butane diol di(meth)acrylate, 1,6 hexanediol di(meth)acrylate, alkoxylated hexane diol di(meth)acrylate, 1,9 nonanediol di(meth)acrylate, 1,10 decanediol di(meth)acrylate, neopentyl glycol di(meth)acrylate, alkoxylated neopentyl glycol di(meth)acrylate, 2-methyl-1,8-octane diol di(meth)acrylate, cyclohexane dimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethylene glycol di(meth)acrylate, triethyleneglycol di(meth)acrylate, polyethylene glycol di(meth)acrylate, propylene glycol di(meth)acrylate, polypropylene glycol di(meth)acrylate, ethoxylated propylene glycol di(meth)acrylate, ethoxylated polypropylene glycol di(meth)acrylate, polyethoxypropoxy di(meth)acrylate, ethoxylated bisphenol A di(meth)acrylate, propoxylated bisphenol A di(meth)acrylate, propoxylated ethoxylated bisphenol A di(meth)acrylate, bisphenol A glycidyl methacrylate, tricyclodecanedimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethoxylated glycerin di(meth)acrylate, bis acrylamides, bis allyl ethers and allyl(meth)acrylates.
",Polymerizable (Meth)acrylate,includes,propylene glycol di(meth)acrylate,0.95,,
"[0032] Not limiting examples of polymerizable difunctional (meth)acryloyl esters include 1,4 butane diol di(meth)acrylate, 1,6 hexanediol di(meth)acrylate, alkoxylated hexane diol di(meth)acrylate, 1,9 nonanediol di(meth)acrylate, 1,10 decanediol di(meth)acrylate, neopentyl glycol di(meth)acrylate, alkoxylated neopentyl glycol di(meth)acrylate, 2-methyl-1,8-octane diol di(meth)acrylate, cyclohexane dimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethylene glycol di(meth)acrylate, triethyleneglycol di(meth)acrylate, polyethylene glycol di(meth)acrylate, propylene glycol di(meth)acrylate, polypropylene glycol di(meth)acrylate, ethoxylated propylene glycol di(meth)acrylate, ethoxylated polypropylene glycol di(meth)acrylate, polyethoxypropoxy di(meth)acrylate, ethoxylated bisphenol A di(meth)acrylate, propoxylated bisphenol A di(meth)acrylate, propoxylated ethoxylated bisphenol A di(meth)acrylate, bisphenol A glycidyl methacrylate, tricyclodecanedimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethoxylated glycerin di(meth)acrylate, bis acrylamides, bis allyl ethers and allyl(meth)acrylates.
",Polymerizable (Meth)acrylate,includes,polypropylene glycol di(meth)acrylate,0.95,,
"[0032] Not limiting examples of polymerizable difunctional (meth)acryloyl esters include 1,4 butane diol di(meth)acrylate, 1,6 hexanediol di(meth)acrylate, alkoxylated hexane diol di(meth)acrylate, 1,9 nonanediol di(meth)acrylate, 1,10 decanediol di(meth)acrylate, neopentyl glycol di(meth)acrylate, alkoxylated neopentyl glycol di(meth)acrylate, 2-methyl-1,8-octane diol di(meth)acrylate, cyclohexane dimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethylene glycol di(meth)acrylate, triethyleneglycol di(meth)acrylate, polyethylene glycol di(meth)acrylate, propylene glycol di(meth)acrylate, polypropylene glycol di(meth)acrylate, ethoxylated propylene glycol di(meth)acrylate, ethoxylated polypropylene glycol di(meth)acrylate, polyethoxypropoxy di(meth)acrylate, ethoxylated bisphenol A di(meth)acrylate, propoxylated bisphenol A di(meth)acrylate, propoxylated ethoxylated bisphenol A di(meth)acrylate, bisphenol A glycidyl methacrylate, tricyclodecanedimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethoxylated glycerin di(meth)acrylate, bis acrylamides, bis allyl ethers and allyl(meth)acrylates.
",Polymerizable (Meth)acrylate,includes,ethoxylated propylene glycol di(meth)acrylate,0.95,,
"[0032] Not limiting examples of polymerizable difunctional (meth)acryloyl esters include 1,4 butane diol di(meth)acrylate, 1,6 hexanediol di(meth)acrylate, alkoxylated hexane diol di(meth)acrylate, 1,9 nonanediol di(meth)acrylate, 1,10 decanediol di(meth)acrylate, neopentyl glycol di(meth)acrylate, alkoxylated neopentyl glycol di(meth)acrylate, 2-methyl-1,8-octane diol di(meth)acrylate, cyclohexane dimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethylene glycol di(meth)acrylate, triethyleneglycol di(meth)acrylate, polyethylene glycol di(meth)acrylate, propylene glycol di(meth)acrylate, polypropylene glycol di(meth)acrylate, ethoxylated propylene glycol di(meth)acrylate, ethoxylated polypropylene glycol di(meth)acrylate, polyethoxypropoxy di(meth)acrylate, ethoxylated bisphenol A di(meth)acrylate, propoxylated bisphenol A di(meth)acrylate, propoxylated ethoxylated bisphenol A di(meth)acrylate, bisphenol A glycidyl methacrylate, tricyclodecanedimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethoxylated glycerin di(meth)acrylate, bis acrylamides, bis allyl ethers and allyl(meth)acrylates.
",Polymerizable (Meth)acrylate,includes,ethoxylated polypropylene glycol di(meth)acrylate,0.95,,
"[0032] Not limiting examples of polymerizable difunctional (meth)acryloyl esters include 1,4 butane diol di(meth)acrylate, 1,6 hexanediol di(meth)acrylate, alkoxylated hexane diol di(meth)acrylate, 1,9 nonanediol di(meth)acrylate, 1,10 decanediol di(meth)acrylate, neopentyl glycol di(meth)acrylate, alkoxylated neopentyl glycol di(meth)acrylate, 2-methyl-1,8-octane diol di(meth)acrylate, cyclohexane dimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethylene glycol di(meth)acrylate, triethyleneglycol di(meth)acrylate, polyethylene glycol di(meth)acrylate, propylene glycol di(meth)acrylate, polypropylene glycol di(meth)acrylate, ethoxylated propylene glycol di(meth)acrylate, ethoxylated polypropylene glycol di(meth)acrylate, polyethoxypropoxy di(meth)acrylate, ethoxylated bisphenol A di(meth)acrylate, propoxylated bisphenol A di(meth)acrylate, propoxylated ethoxylated bisphenol A di(meth)acrylate, bisphenol A glycidyl methacrylate, tricyclodecanedimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethoxylated glycerin di(meth)acrylate, bis acrylamides, bis allyl ethers and allyl(meth)acrylates.
",Polymerizable (Meth)acrylate,includes,polyethoxypropoxy di(meth)acrylate,0.95,,
"[0032] Not limiting examples of polymerizable difunctional (meth)acryloyl esters include 1,4 butane diol di(meth)acrylate, 1,6 hexanediol di(meth)acrylate, alkoxylated hexane diol di(meth)acrylate, 1,9 nonanediol di(meth)acrylate, 1,10 decanediol di(meth)acrylate, neopentyl glycol di(meth)acrylate, alkoxylated neopentyl glycol di(meth)acrylate, 2-methyl-1,8-octane diol di(meth)acrylate, cyclohexane dimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethylene glycol di(meth)acrylate, triethyleneglycol di(meth)acrylate, polyethylene glycol di(meth)acrylate, propylene glycol di(meth)acrylate, polypropylene glycol di(meth)acrylate, ethoxylated propylene glycol di(meth)acrylate, ethoxylated polypropylene glycol di(meth)acrylate, polyethoxypropoxy di(meth)acrylate, ethoxylated bisphenol A di(meth)acrylate, propoxylated bisphenol A di(meth)acrylate, propoxylated ethoxylated bisphenol A di(meth)acrylate, bisphenol A glycidyl methacrylate, tricyclodecanedimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethoxylated glycerin di(meth)acrylate, bis acrylamides, bis allyl ethers and allyl(meth)acrylates.
",Polymerizable (Meth)acrylate,includes,ethoxylated bisphenol A di(meth)acrylate,0.95,,
"[0032] Not limiting examples of polymerizable difunctional (meth)acryloyl esters include 1,4 butane diol di(meth)acrylate, 1,6 hexanediol di(meth)acrylate, alkoxylated hexane diol di(meth)acrylate, 1,9 nonanediol di(meth)acrylate, 1,10 decanediol di(meth)acrylate, neopentyl glycol di(meth)acrylate, alkoxylated neopentyl glycol di(meth)acrylate, 2-methyl-1,8-octane diol di(meth)acrylate, cyclohexane dimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethylene glycol di(meth)acrylate, triethyleneglycol di(meth)acrylate, polyethylene glycol di(meth)acrylate, propylene glycol di(meth)acrylate, polypropylene glycol di(meth)acrylate, ethoxylated propylene glycol di(meth)acrylate, ethoxylated polypropylene glycol di(meth)acrylate, polyethoxypropoxy di(meth)acrylate, ethoxylated bisphenol A di(meth)acrylate, propoxylated bisphenol A di(meth)acrylate, propoxylated ethoxylated bisphenol A di(meth)acrylate, bisphenol A glycidyl methacrylate, tricyclodecanedimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethoxylated glycerin di(meth)acrylate, bis acrylamides, bis allyl ethers and allyl(meth)acrylates.
",Polymerizable (Meth)acrylate,includes,propoxylated bisphenol A di(meth)acrylate,0.95,,
"[0032] Not limiting examples of polymerizable difunctional (meth)acryloyl esters include 1,4 butane diol di(meth)acrylate, 1,6 hexanediol di(meth)acrylate, alkoxylated hexane diol di(meth)acrylate, 1,9 nonanediol di(meth)acrylate, 1,10 decanediol di(meth)acrylate, neopentyl glycol di(meth)acrylate, alkoxylated neopentyl glycol di(meth)acrylate, 2-methyl-1,8-octane diol di(meth)acrylate, cyclohexane dimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethylene glycol di(meth)acrylate, triethyleneglycol di(meth)acrylate, polyethylene glycol di(meth)acrylate, propylene glycol di(meth)acrylate, polypropylene glycol di(meth)acrylate, ethoxylated propylene glycol di(meth)acrylate, ethoxylated polypropylene glycol di(meth)acrylate, polyethoxypropoxy di(meth)acrylate, ethoxylated bisphenol A di(meth)acrylate, propoxylated bisphenol A di(meth)acrylate, propoxylated ethoxylated bisphenol A di(meth)acrylate, bisphenol A glycidyl methacrylate, tricyclodecanedimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethoxylated glycerin di(meth)acrylate, bis acrylamides, bis allyl ethers and allyl(meth)acrylates.
",Polymerizable (Meth)acrylate,includes,propoxylated ethoxylated bisphenol A di(meth)acrylate,0.95,,
"[0032] Not limiting examples of polymerizable difunctional (meth)acryloyl esters include 1,4 butane diol di(meth)acrylate, 1,6 hexanediol di(meth)acrylate, alkoxylated hexane diol di(meth)acrylate, 1,9 nonanediol di(meth)acrylate, 1,10 decanediol di(meth)acrylate, neopentyl glycol di(meth)acrylate, alkoxylated neopentyl glycol di(meth)acrylate, 2-methyl-1,8-octane diol di(meth)acrylate, cyclohexane dimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethylene glycol di(meth)acrylate, triethyleneglycol di(meth)acrylate, polyethylene glycol di(meth)acrylate, propylene glycol di(meth)acrylate, polypropylene glycol di(meth)acrylate, ethoxylated propylene glycol di(meth)acrylate, ethoxylated polypropylene glycol di(meth)acrylate, polyethoxypropoxy di(meth)acrylate, ethoxylated bisphenol A di(meth)acrylate, propoxylated bisphenol A di(meth)acrylate, propoxylated ethoxylated bisphenol A di(meth)acrylate, bisphenol A glycidyl methacrylate, tricyclodecanedimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethoxylated glycerin di(meth)acrylate, bis acrylamides, bis allyl ethers and allyl(meth)acrylates.
",Polymerizable (Meth)acrylate,includes,bisphenol A glycidyl methacrylate,0.95,,
"[0032] Not limiting examples of polymerizable difunctional (meth)acryloyl esters include 1,4 butane diol di(meth)acrylate, 1,6 hexanediol di(meth)acrylate, alkoxylated hexane diol di(meth)acrylate, 1,9 nonanediol di(meth)acrylate, 1,10 decanediol di(meth)acrylate, neopentyl glycol di(meth)acrylate, alkoxylated neopentyl glycol di(meth)acrylate, 2-methyl-1,8-octane diol di(meth)acrylate, cyclohexane dimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethylene glycol di(meth)acrylate, triethyleneglycol di(meth)acrylate, polyethylene glycol di(meth)acrylate, propylene glycol di(meth)acrylate, polypropylene glycol di(meth)acrylate, ethoxylated propylene glycol di(meth)acrylate, ethoxylated polypropylene glycol di(meth)acrylate, polyethoxypropoxy di(meth)acrylate, ethoxylated bisphenol A di(meth)acrylate, propoxylated bisphenol A di(meth)acrylate, propoxylated ethoxylated bisphenol A di(meth)acrylate, bisphenol A glycidyl methacrylate, tricyclodecanedimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethoxylated glycerin di(meth)acrylate, bis acrylamides, bis allyl ethers and allyl(meth)acrylates.
",Polymerizable (Meth)acrylate,includes,tricyclodecanedimethanol di(meth)acrylate,0.95,,
"[0032] Not limiting examples of polymerizable difunctional (meth)acryloyl esters include 1,4 butane diol di(meth)acrylate, 1,6 hexanediol di(meth)acrylate, alkoxylated hexane diol di(meth)acrylate, 1,9 nonanediol di(meth)acrylate, 1,10 decanediol di(meth)acrylate, neopentyl glycol di(meth)acrylate, alkoxylated neopentyl glycol di(meth)acrylate, 2-methyl-1,8-octane diol di(meth)acrylate, cyclohexane dimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethylene glycol di(meth)acrylate, triethyleneglycol di(meth)acrylate, polyethylene glycol di(meth)acrylate, propylene glycol di(meth)acrylate, polypropylene glycol di(meth)acrylate, ethoxylated propylene glycol di(meth)acrylate, ethoxylated polypropylene glycol di(meth)acrylate, polyethoxypropoxy di(meth)acrylate, ethoxylated bisphenol A di(meth)acrylate, propoxylated bisphenol A di(meth)acrylate, propoxylated ethoxylated bisphenol A di(meth)acrylate, bisphenol A glycidyl methacrylate, tricyclodecanedimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethoxylated glycerin di(meth)acrylate, bis acrylamides, bis allyl ethers and allyl(meth)acrylates.
",Polymerizable (Meth)acrylate,includes,bis acrylamides,0.95,,
"[0032] Not limiting examples of polymerizable difunctional (meth)acryloyl esters include 1,4 butane diol di(meth)acrylate, 1,6 hexanediol di(meth)acrylate, alkoxylated hexane diol di(meth)acrylate, 1,9 nonanediol di(meth)acrylate, 1,10 decanediol di(meth)acrylate, neopentyl glycol di(meth)acrylate, alkoxylated neopentyl glycol di(meth)acrylate, 2-methyl-1,8-octane diol di(meth)acrylate, cyclohexane dimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethylene glycol di(meth)acrylate, triethyleneglycol di(meth)acrylate, polyethylene glycol di(meth)acrylate, propylene glycol di(meth)acrylate, polypropylene glycol di(meth)acrylate, ethoxylated propylene glycol di(meth)acrylate, ethoxylated polypropylene glycol di(meth)acrylate, polyethoxypropoxy di(meth)acrylate, ethoxylated bisphenol A di(meth)acrylate, propoxylated bisphenol A di(meth)acrylate, propoxylated ethoxylated bisphenol A di(meth)acrylate, bisphenol A glycidyl methacrylate, tricyclodecanedimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethoxylated glycerin di(meth)acrylate, bis acrylamides, bis allyl ethers and allyl(meth)acrylates.
",Polymerizable (Meth)acrylate,includes,bis allyl ethers,0.95,,
"[0032] Not limiting examples of polymerizable difunctional (meth)acryloyl esters include 1,4 butane diol di(meth)acrylate, 1,6 hexanediol di(meth)acrylate, alkoxylated hexane diol di(meth)acrylate, 1,9 nonanediol di(meth)acrylate, 1,10 decanediol di(meth)acrylate, neopentyl glycol di(meth)acrylate, alkoxylated neopentyl glycol di(meth)acrylate, 2-methyl-1,8-octane diol di(meth)acrylate, cyclohexane dimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethylene glycol di(meth)acrylate, triethyleneglycol di(meth)acrylate, polyethylene glycol di(meth)acrylate, propylene glycol di(meth)acrylate, polypropylene glycol di(meth)acrylate, ethoxylated propylene glycol di(meth)acrylate, ethoxylated polypropylene glycol di(meth)acrylate, polyethoxypropoxy di(meth)acrylate, ethoxylated bisphenol A di(meth)acrylate, propoxylated bisphenol A di(meth)acrylate, propoxylated ethoxylated bisphenol A di(meth)acrylate, bisphenol A glycidyl methacrylate, tricyclodecanedimethanol di(meth)acrylate, glycerin di(meth)acrylate, ethoxylated glycerin di(meth)acrylate, bis acrylamides, bis allyl ethers and allyl(meth)acrylates.
",Polymerizable (Meth)acrylate,includes,allyl(meth)acrylates,0.95,,
"[0034] Non-limiting examples of polymerizable (meth)acrylates also includes monomers containing acid groups, such as (meth)acrylic acid, bis(glyceryl dimethacrylate) pyromellitate, pyromellitic dimethacrylate, methacryloyloxyethyl phthalate, methacryloyloxyethyl maleate, 2 hydroxyethyl methacrylate/succinate, 1,3 glyceryl dimethacrylate maleate adduct, and 1,3 glyceryl dimethacrylate succinate adduct.
",Polymerizable (Meth)acrylates,include,(Meth)acrylic acid,0.9,,
"[0034] Non-limiting examples of polymerizable (meth)acrylates also includes monomers containing acid groups, such as (meth)acrylic acid, bis(glyceryl dimethacrylate) pyromellitate, pyromellitic dimethacrylate, methacryloyloxyethyl phthalate, methacryloyloxyethyl maleate, 2 hydroxyethyl methacrylate/succinate, 1,3 glyceryl dimethacrylate maleate adduct, and 1,3 glyceryl dimethacrylate succinate adduct.
",Polymerizable (Meth)acrylates,include,Bis(glyceryl dimethacrylate) pyromellitate,0.9,,
"[0034] Non-limiting examples of polymerizable (meth)acrylates also includes monomers containing acid groups, such as (meth)acrylic acid, bis(glyceryl dimethacrylate) pyromellitate, pyromellitic dimethacrylate, methacryloyloxyethyl phthalate, methacryloyloxyethyl maleate, 2 hydroxyethyl methacrylate/succinate, 1,3 glyceryl dimethacrylate maleate adduct, and 1,3 glyceryl dimethacrylate succinate adduct.
",Polymerizable (Meth)acrylates,include,Pyromellitic dimethacrylate,0.9,,
"[0034] Non-limiting examples of polymerizable (meth)acrylates also includes monomers containing acid groups, such as (meth)acrylic acid, bis(glyceryl dimethacrylate) pyromellitate, pyromellitic dimethacrylate, methacryloyloxyethyl phthalate, methacryloyloxyethyl maleate, 2 hydroxyethyl methacrylate/succinate, 1,3 glyceryl dimethacrylate maleate adduct, and 1,3 glyceryl dimethacrylate succinate adduct.
",Polymerizable (Meth)acrylates,include,Methacryloyloxyethyl phthalate,0.9,,
"[0034] Non-limiting examples of polymerizable (meth)acrylates also includes monomers containing acid groups, such as (meth)acrylic acid, bis(glyceryl dimethacrylate) pyromellitate, pyromellitic dimethacrylate, methacryloyloxyethyl phthalate, methacryloyloxyethyl maleate, 2 hydroxyethyl methacrylate/succinate, 1,3 glyceryl dimethacrylate maleate adduct, and 1,3 glyceryl dimethacrylate succinate adduct.
",Polymerizable (Meth)acrylates,include,Methacryloyloxyethyl maleate,0.9,,
"[0034] Non-limiting examples of polymerizable (meth)acrylates also includes monomers containing acid groups, such as (meth)acrylic acid, bis(glyceryl dimethacrylate) pyromellitate, pyromellitic dimethacrylate, methacryloyloxyethyl phthalate, methacryloyloxyethyl maleate, 2 hydroxyethyl methacrylate/succinate, 1,3 glyceryl dimethacrylate maleate adduct, and 1,3 glyceryl dimethacrylate succinate adduct.
",Polymerizable (Meth)acrylates,include,2 Hydroxyethyl methacrylate/succinate,0.9,,
"[0034] Non-limiting examples of polymerizable (meth)acrylates also includes monomers containing acid groups, such as (meth)acrylic acid, bis(glyceryl dimethacrylate) pyromellitate, pyromellitic dimethacrylate, methacryloyloxyethyl phthalate, methacryloyloxyethyl maleate, 2 hydroxyethyl methacrylate/succinate, 1,3 glyceryl dimethacrylate maleate adduct, and 1,3 glyceryl dimethacrylate succinate adduct.
",Polymerizable (Meth)acrylates,include,"1,3 Glyceryl dimethacrylate maleate adduct",0.9,,
"[0034] Non-limiting examples of polymerizable (meth)acrylates also includes monomers containing acid groups, such as (meth)acrylic acid, bis(glyceryl dimethacrylate) pyromellitate, pyromellitic dimethacrylate, methacryloyloxyethyl phthalate, methacryloyloxyethyl maleate, 2 hydroxyethyl methacrylate/succinate, 1,3 glyceryl dimethacrylate maleate adduct, and 1,3 glyceryl dimethacrylate succinate adduct.
",Polymerizable (Meth)acrylates,include,"1,3 Glyceryl dimethacrylate succinate adduct",0.9,,
"[0035] In a preferred embodiment, pyromellitic dimethacrylate is utilized.
[0036] In some embodiments, the polymerizable (meth)acrylate may be present in a total amount of 3-15% by weight of the cosmetic nail composition. In some embodiments, the polymerizable (meth)acrylate may be present in a total amount of 4-10% by weight of the cosmetic nail composition. In some embodiments, the ratio, by weight, of difunctional acylate oligomer to polymerizable (meth)acrylate is about 2:1.
Photoinitiator.
",pyromellitic dimethacrylate,is utilized in,a preferred embodiment,0.95,,
"[0035] In a preferred embodiment, pyromellitic dimethacrylate is utilized.
[0036] In some embodiments, the polymerizable (meth)acrylate may be present in a total amount of 3-15% by weight of the cosmetic nail composition. In some embodiments, the polymerizable (meth)acrylate may be present in a total amount of 4-10% by weight of the cosmetic nail composition. In some embodiments, the ratio, by weight, of difunctional acylate oligomer to polymerizable (meth)acrylate is about 2:1.
Photoinitiator.
",polymerizable (meth)acrylate,may be present in,3-15% by weight of the cosmetic nail composition,0.92,,
"[0035] In a preferred embodiment, pyromellitic dimethacrylate is utilized.
[0036] In some embodiments, the polymerizable (meth)acrylate may be present in a total amount of 3-15% by weight of the cosmetic nail composition. In some embodiments, the polymerizable (meth)acrylate may be present in a total amount of 4-10% by weight of the cosmetic nail composition. In some embodiments, the ratio, by weight, of difunctional acylate oligomer to polymerizable (meth)acrylate is about 2:1.
Photoinitiator.
",polymerizable (meth)acrylate,may be present in,4-10% by weight of the cosmetic nail composition,0.9,,
"[0035] In a preferred embodiment, pyromellitic dimethacrylate is utilized.
[0036] In some embodiments, the polymerizable (meth)acrylate may be present in a total amount of 3-15% by weight of the cosmetic nail composition. In some embodiments, the polymerizable (meth)acrylate may be present in a total amount of 4-10% by weight of the cosmetic nail composition. In some embodiments, the ratio, by weight, of difunctional acylate oligomer to polymerizable (meth)acrylate is about 2:1.
Photoinitiator.
",difunctional acylate oligomer,to polymerizable (meth)acrylate ratio is,about 2:1,0.88,,
