ChunkContent,Subject,Predicate,Object,Confidence,Expert Answer,Short Justification,<- Fill the Answers in these columns
"Water insoluble active ingredient The composition according to the invention comprises at least one water insoluble active ingredient.
In the context of the present application, the term ”water insoluble active ingredient” means that the solubility of the active ingredient in water is no more than 10 g.
As examples of water insoluble active ingredients, mention can be made of vitreoscilla ferment, silica, boron nitride, and a mixture thereof
In recent years, studies have shown that the fermentation product of vitreoscilla has a good effect on antioxidants, which can increase the use of oxygen by the skin, promote cell growth and product synthesis, and make the skin younger.
In some embodiments, the water insoluble active ingredient is vitreoscilla ferment.
As a commerical product of vitreoscilla ferment, mention can be made of MEXORYL® SCW from the company NOVEAL.
The skilled in the art can select the amount of the water insoluble active ingredient based on the intended use.
Advantageously, the water insoluble active ingredient is present in an amount ranging from 0.01 wt.% to 0.2 wt.%, preferably from 0.05 wt.% to 0.1 wt.%, relative to the total weight of the composition.
",MEXORYL® SCW,is from,the company NOVEAL,0.89,,,
"Water insoluble active ingredient The composition according to the invention comprises at least one water insoluble active ingredient.
In the context of the present application, the term ”water insoluble active ingredient” means that the solubility of the active ingredient in water is no more than 10 g.
As examples of water insoluble active ingredients, mention can be made of vitreoscilla ferment, silica, boron nitride, and a mixture thereof
In recent years, studies have shown that the fermentation product of vitreoscilla has a good effect on antioxidants, which can increase the use of oxygen by the skin, promote cell growth and product synthesis, and make the skin younger.
In some embodiments, the water insoluble active ingredient is vitreoscilla ferment.
As a commerical product of vitreoscilla ferment, mention can be made of MEXORYL® SCW from the company NOVEAL.
The skilled in the art can select the amount of the water insoluble active ingredient based on the intended use.
Advantageously, the water insoluble active ingredient is present in an amount ranging from 0.01 wt.% to 0.2 wt.%, preferably from 0.05 wt.% to 0.1 wt.%, relative to the total weight of the composition.
",water insoluble active ingredient,is present in an amount ranging from,0.01 wt.% to 0.2 wt.%,0.87,,,
"Water insoluble active ingredient The composition according to the invention comprises at least one water insoluble active ingredient.
In the context of the present application, the term ”water insoluble active ingredient” means that the solubility of the active ingredient in water is no more than 10 g.
As examples of water insoluble active ingredients, mention can be made of vitreoscilla ferment, silica, boron nitride, and a mixture thereof
In recent years, studies have shown that the fermentation product of vitreoscilla has a good effect on antioxidants, which can increase the use of oxygen by the skin, promote cell growth and product synthesis, and make the skin younger.
In some embodiments, the water insoluble active ingredient is vitreoscilla ferment.
As a commerical product of vitreoscilla ferment, mention can be made of MEXORYL® SCW from the company NOVEAL.
The skilled in the art can select the amount of the water insoluble active ingredient based on the intended use.
Advantageously, the water insoluble active ingredient is present in an amount ranging from 0.01 wt.% to 0.2 wt.%, preferably from 0.05 wt.% to 0.1 wt.%, relative to the total weight of the composition.
",water insoluble active ingredient,is preferably present in an amount ranging from,0.05 wt.% to 0.1 wt.%,0.87,,,
"Xanthan gum The composition according to the invention comprises at least one xanthan
gum.
Xanthan gum may be, for example, synthesized by fermentation of sugars with the bacterium xanthomonas campestri and mutants or variants thereof.
Xanthan gum may comprise in their structure three different monosaccharides, namely mannose, glucose and glucuronic acid, in salt form, such as in the form of the sodium salt.
Xanthan gum may have, for example, a viscosity ranging from 0.6 to 1.65 Pa.s (measured at 25 °C. using a Brookfield viscometer, type LVT at 60 rpm). It has a molecular weight ranging, for example, from 1 000 000 to 50 000 000.
Such products may include, for example, Keltrol T sold by the company Keltro, Rhodicare S sold by the company Rhodia, and Kelsan S sold by the company Monsanto Chemical.
Advantageously, xanthan gum is present in an amount ranging from 0.05 wt.% to 0.2 wt.%, preferably from 0.08 wt.% to 0.12 wt.%, relative to the total weight of the composition.
",Xanthan Gum,comprises,at least one xanthan gum,0.9,,,
"Xanthan gum The composition according to the invention comprises at least one xanthan
gum.
Xanthan gum may be, for example, synthesized by fermentation of sugars with the bacterium xanthomonas campestri and mutants or variants thereof.
Xanthan gum may comprise in their structure three different monosaccharides, namely mannose, glucose and glucuronic acid, in salt form, such as in the form of the sodium salt.
Xanthan gum may have, for example, a viscosity ranging from 0.6 to 1.65 Pa.s (measured at 25 °C. using a Brookfield viscometer, type LVT at 60 rpm). It has a molecular weight ranging, for example, from 1 000 000 to 50 000 000.
Such products may include, for example, Keltrol T sold by the company Keltro, Rhodicare S sold by the company Rhodia, and Kelsan S sold by the company Monsanto Chemical.
Advantageously, xanthan gum is present in an amount ranging from 0.05 wt.% to 0.2 wt.%, preferably from 0.08 wt.% to 0.12 wt.%, relative to the total weight of the composition.
",Xanthan Gum,is synthesized by,fermentation of sugars with the bacterium xanthomonas campestri,0.92,,,
"Xanthan gum The composition according to the invention comprises at least one xanthan
gum.
Xanthan gum may be, for example, synthesized by fermentation of sugars with the bacterium xanthomonas campestri and mutants or variants thereof.
Xanthan gum may comprise in their structure three different monosaccharides, namely mannose, glucose and glucuronic acid, in salt form, such as in the form of the sodium salt.
Xanthan gum may have, for example, a viscosity ranging from 0.6 to 1.65 Pa.s (measured at 25 °C. using a Brookfield viscometer, type LVT at 60 rpm). It has a molecular weight ranging, for example, from 1 000 000 to 50 000 000.
Such products may include, for example, Keltrol T sold by the company Keltro, Rhodicare S sold by the company Rhodia, and Kelsan S sold by the company Monsanto Chemical.
Advantageously, xanthan gum is present in an amount ranging from 0.05 wt.% to 0.2 wt.%, preferably from 0.08 wt.% to 0.12 wt.%, relative to the total weight of the composition.
",Xanthan Gum,may comprise,"mannose, glucose, and glucuronic acid",0.88,,,
"Xanthan gum The composition according to the invention comprises at least one xanthan
gum.
Xanthan gum may be, for example, synthesized by fermentation of sugars with the bacterium xanthomonas campestri and mutants or variants thereof.
Xanthan gum may comprise in their structure three different monosaccharides, namely mannose, glucose and glucuronic acid, in salt form, such as in the form of the sodium salt.
Xanthan gum may have, for example, a viscosity ranging from 0.6 to 1.65 Pa.s (measured at 25 °C. using a Brookfield viscometer, type LVT at 60 rpm). It has a molecular weight ranging, for example, from 1 000 000 to 50 000 000.
Such products may include, for example, Keltrol T sold by the company Keltro, Rhodicare S sold by the company Rhodia, and Kelsan S sold by the company Monsanto Chemical.
Advantageously, xanthan gum is present in an amount ranging from 0.05 wt.% to 0.2 wt.%, preferably from 0.08 wt.% to 0.12 wt.%, relative to the total weight of the composition.
",Xanthan Gum,have a viscosity ranging,from 0.6 to 1.65 Pa.s,0.87,,,
"Xanthan gum The composition according to the invention comprises at least one xanthan
gum.
Xanthan gum may be, for example, synthesized by fermentation of sugars with the bacterium xanthomonas campestri and mutants or variants thereof.
Xanthan gum may comprise in their structure three different monosaccharides, namely mannose, glucose and glucuronic acid, in salt form, such as in the form of the sodium salt.
Xanthan gum may have, for example, a viscosity ranging from 0.6 to 1.65 Pa.s (measured at 25 °C. using a Brookfield viscometer, type LVT at 60 rpm). It has a molecular weight ranging, for example, from 1 000 000 to 50 000 000.
Such products may include, for example, Keltrol T sold by the company Keltro, Rhodicare S sold by the company Rhodia, and Kelsan S sold by the company Monsanto Chemical.
Advantageously, xanthan gum is present in an amount ranging from 0.05 wt.% to 0.2 wt.%, preferably from 0.08 wt.% to 0.12 wt.%, relative to the total weight of the composition.
",Xanthan Gum,has a molecular weight ranging,from 1 000 000 to 50 000 000,0.86,,,
"Xanthan gum The composition according to the invention comprises at least one xanthan
gum.
Xanthan gum may be, for example, synthesized by fermentation of sugars with the bacterium xanthomonas campestri and mutants or variants thereof.
Xanthan gum may comprise in their structure three different monosaccharides, namely mannose, glucose and glucuronic acid, in salt form, such as in the form of the sodium salt.
Xanthan gum may have, for example, a viscosity ranging from 0.6 to 1.65 Pa.s (measured at 25 °C. using a Brookfield viscometer, type LVT at 60 rpm). It has a molecular weight ranging, for example, from 1 000 000 to 50 000 000.
Such products may include, for example, Keltrol T sold by the company Keltro, Rhodicare S sold by the company Rhodia, and Kelsan S sold by the company Monsanto Chemical.
Advantageously, xanthan gum is present in an amount ranging from 0.05 wt.% to 0.2 wt.%, preferably from 0.08 wt.% to 0.12 wt.%, relative to the total weight of the composition.
",Keltrol T,is sold by,the company Keltro,0.85,,,
"Xanthan gum The composition according to the invention comprises at least one xanthan
gum.
Xanthan gum may be, for example, synthesized by fermentation of sugars with the bacterium xanthomonas campestri and mutants or variants thereof.
Xanthan gum may comprise in their structure three different monosaccharides, namely mannose, glucose and glucuronic acid, in salt form, such as in the form of the sodium salt.
Xanthan gum may have, for example, a viscosity ranging from 0.6 to 1.65 Pa.s (measured at 25 °C. using a Brookfield viscometer, type LVT at 60 rpm). It has a molecular weight ranging, for example, from 1 000 000 to 50 000 000.
Such products may include, for example, Keltrol T sold by the company Keltro, Rhodicare S sold by the company Rhodia, and Kelsan S sold by the company Monsanto Chemical.
Advantageously, xanthan gum is present in an amount ranging from 0.05 wt.% to 0.2 wt.%, preferably from 0.08 wt.% to 0.12 wt.%, relative to the total weight of the composition.
",Rhodicare S,is sold by,the company Rhodia,0.85,,,
"Xanthan gum The composition according to the invention comprises at least one xanthan
gum.
Xanthan gum may be, for example, synthesized by fermentation of sugars with the bacterium xanthomonas campestri and mutants or variants thereof.
Xanthan gum may comprise in their structure three different monosaccharides, namely mannose, glucose and glucuronic acid, in salt form, such as in the form of the sodium salt.
Xanthan gum may have, for example, a viscosity ranging from 0.6 to 1.65 Pa.s (measured at 25 °C. using a Brookfield viscometer, type LVT at 60 rpm). It has a molecular weight ranging, for example, from 1 000 000 to 50 000 000.
Such products may include, for example, Keltrol T sold by the company Keltro, Rhodicare S sold by the company Rhodia, and Kelsan S sold by the company Monsanto Chemical.
Advantageously, xanthan gum is present in an amount ranging from 0.05 wt.% to 0.2 wt.%, preferably from 0.08 wt.% to 0.12 wt.%, relative to the total weight of the composition.
",Kelsan S,is sold by,the company Monsanto Chemical,0.9,,,
"Xanthan gum The composition according to the invention comprises at least one xanthan
gum.
Xanthan gum may be, for example, synthesized by fermentation of sugars with the bacterium xanthomonas campestri and mutants or variants thereof.
Xanthan gum may comprise in their structure three different monosaccharides, namely mannose, glucose and glucuronic acid, in salt form, such as in the form of the sodium salt.
Xanthan gum may have, for example, a viscosity ranging from 0.6 to 1.65 Pa.s (measured at 25 °C. using a Brookfield viscometer, type LVT at 60 rpm). It has a molecular weight ranging, for example, from 1 000 000 to 50 000 000.
Such products may include, for example, Keltrol T sold by the company Keltro, Rhodicare S sold by the company Rhodia, and Kelsan S sold by the company Monsanto Chemical.
Advantageously, xanthan gum is present in an amount ranging from 0.05 wt.% to 0.2 wt.%, preferably from 0.08 wt.% to 0.12 wt.%, relative to the total weight of the composition.
",Xanthan Gum,is present in an amount ranging,from 0.05 wt.% to 0.2 wt.%,0.88,,,
"Crosslinked acrylic acid homopolymer The composition according to the invention comprises at least one crosslinked acrylic acid homopolymer.
Among the crosslinked acrylic acid homopolymers that may be mentioned are those crosslinked with an allylic alcohol ether of the sugar series. Mention may be made of carbomer, which is a homopolymer of acrylic acid crosslinked with an allyl ether of pentaerythritol, an allyl ether of sucrose, or an allyl ether of propylene, such as the products sold under the names Carbopol 980, 981, 954, 2984, and 5984 by the company Lubrizol or the products sold under the names Synthalen M and Synthalen K
4
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
by the company 3 VSA. Advantageously, the crosslinked acrylic acid homopolymer is present in an amount ranging from 0.05 wt.% to 0.3 wt.%, preferably from 0.07 wt.% to 0.3 wt.%, more preferably from 0.08 wt.% to 0.15 wt.%, relative to the total weight of the composition.
",the composition according to the invention,comprises,at least one crosslinked acrylic acid homopolymer,0.95,,,
"Crosslinked acrylic acid homopolymer The composition according to the invention comprises at least one crosslinked acrylic acid homopolymer.
Among the crosslinked acrylic acid homopolymers that may be mentioned are those crosslinked with an allylic alcohol ether of the sugar series. Mention may be made of carbomer, which is a homopolymer of acrylic acid crosslinked with an allyl ether of pentaerythritol, an allyl ether of sucrose, or an allyl ether of propylene, such as the products sold under the names Carbopol 980, 981, 954, 2984, and 5984 by the company Lubrizol or the products sold under the names Synthalen M and Synthalen K
4
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
by the company 3 VSA. Advantageously, the crosslinked acrylic acid homopolymer is present in an amount ranging from 0.05 wt.% to 0.3 wt.%, preferably from 0.07 wt.% to 0.3 wt.%, more preferably from 0.08 wt.% to 0.15 wt.%, relative to the total weight of the composition.
",carbomer,is,"a homopolymer of acrylic acid crosslinked with an allyl ether of pentaerythritol, an allyl ether of sucrose, or an allyl ether of propylene",0.9,,,
"Crosslinked acrylic acid homopolymer The composition according to the invention comprises at least one crosslinked acrylic acid homopolymer.
Among the crosslinked acrylic acid homopolymers that may be mentioned are those crosslinked with an allylic alcohol ether of the sugar series. Mention may be made of carbomer, which is a homopolymer of acrylic acid crosslinked with an allyl ether of pentaerythritol, an allyl ether of sucrose, or an allyl ether of propylene, such as the products sold under the names Carbopol 980, 981, 954, 2984, and 5984 by the company Lubrizol or the products sold under the names Synthalen M and Synthalen K
4
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
by the company 3 VSA. Advantageously, the crosslinked acrylic acid homopolymer is present in an amount ranging from 0.05 wt.% to 0.3 wt.%, preferably from 0.07 wt.% to 0.3 wt.%, more preferably from 0.08 wt.% to 0.15 wt.%, relative to the total weight of the composition.
","Carbopol 980, 981, 954, 2984, and 5984",are sold by,Lubrizol,0.93,,,
"Crosslinked acrylic acid homopolymer The composition according to the invention comprises at least one crosslinked acrylic acid homopolymer.
Among the crosslinked acrylic acid homopolymers that may be mentioned are those crosslinked with an allylic alcohol ether of the sugar series. Mention may be made of carbomer, which is a homopolymer of acrylic acid crosslinked with an allyl ether of pentaerythritol, an allyl ether of sucrose, or an allyl ether of propylene, such as the products sold under the names Carbopol 980, 981, 954, 2984, and 5984 by the company Lubrizol or the products sold under the names Synthalen M and Synthalen K
4
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
by the company 3 VSA. Advantageously, the crosslinked acrylic acid homopolymer is present in an amount ranging from 0.05 wt.% to 0.3 wt.%, preferably from 0.07 wt.% to 0.3 wt.%, more preferably from 0.08 wt.% to 0.15 wt.%, relative to the total weight of the composition.
",Synthalen M and Synthalen K,are sold by,3 VSA,0.93,,,
"Crosslinked acrylic acid homopolymer The composition according to the invention comprises at least one crosslinked acrylic acid homopolymer.
Among the crosslinked acrylic acid homopolymers that may be mentioned are those crosslinked with an allylic alcohol ether of the sugar series. Mention may be made of carbomer, which is a homopolymer of acrylic acid crosslinked with an allyl ether of pentaerythritol, an allyl ether of sucrose, or an allyl ether of propylene, such as the products sold under the names Carbopol 980, 981, 954, 2984, and 5984 by the company Lubrizol or the products sold under the names Synthalen M and Synthalen K
4
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
by the company 3 VSA. Advantageously, the crosslinked acrylic acid homopolymer is present in an amount ranging from 0.05 wt.% to 0.3 wt.%, preferably from 0.07 wt.% to 0.3 wt.%, more preferably from 0.08 wt.% to 0.15 wt.%, relative to the total weight of the composition.
",the crosslinked acrylic acid homopolymer,is present in,"an amount ranging from 0.05 wt.% to 0.3 wt.%, preferably from 0.07 wt.% to 0.3 wt.%, more preferably from 0.08 wt.% to 0.15 wt.%, relative to the total weight of the composition",0.92,,,
"Alginates The composition according to the invention comprises at least one polymer selected from alginic acid and alginates.
In particular, the alginate is selected from alkali metal salts or ammonium salts of alginic acid. The alginate is water-soluble.
Alginic acid, a natural substance obtained from brown algae or from certain bacteria, is a polyuronic acid composed of two uronic acids linked together via 1, 4- glycoside bonds: B-D-mannuronic acid (M) and a-L-glucuronic acid (G).
Alginic acid is capable of forming water-soluble salts (alginates) with alkali metals such as sodium, potassium or lithium, or ammonia. These alginates are water-soluble in aqueous medium at pH 4 but dissociate into alginic acid at a pH below 4.
5
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
",Alginates,comprises,at least one polymer selected from alginic acid and alginates,0.9,,,
"Alginates The composition according to the invention comprises at least one polymer selected from alginic acid and alginates.
In particular, the alginate is selected from alkali metal salts or ammonium salts of alginic acid. The alginate is water-soluble.
Alginic acid, a natural substance obtained from brown algae or from certain bacteria, is a polyuronic acid composed of two uronic acids linked together via 1, 4- glycoside bonds: B-D-mannuronic acid (M) and a-L-glucuronic acid (G).
Alginic acid is capable of forming water-soluble salts (alginates) with alkali metals such as sodium, potassium or lithium, or ammonia. These alginates are water-soluble in aqueous medium at pH 4 but dissociate into alginic acid at a pH below 4.
5
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
",Alginates,is selected from,alkali metal salts or ammonium salts of alginic acid,0.88,,,
"Alginates The composition according to the invention comprises at least one polymer selected from alginic acid and alginates.
In particular, the alginate is selected from alkali metal salts or ammonium salts of alginic acid. The alginate is water-soluble.
Alginic acid, a natural substance obtained from brown algae or from certain bacteria, is a polyuronic acid composed of two uronic acids linked together via 1, 4- glycoside bonds: B-D-mannuronic acid (M) and a-L-glucuronic acid (G).
Alginic acid is capable of forming water-soluble salts (alginates) with alkali metals such as sodium, potassium or lithium, or ammonia. These alginates are water-soluble in aqueous medium at pH 4 but dissociate into alginic acid at a pH below 4.
5
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
",Alginic acid,is obtained from,brown algae or certain bacteria,0.85,,,
"Alginates The composition according to the invention comprises at least one polymer selected from alginic acid and alginates.
In particular, the alginate is selected from alkali metal salts or ammonium salts of alginic acid. The alginate is water-soluble.
Alginic acid, a natural substance obtained from brown algae or from certain bacteria, is a polyuronic acid composed of two uronic acids linked together via 1, 4- glycoside bonds: B-D-mannuronic acid (M) and a-L-glucuronic acid (G).
Alginic acid is capable of forming water-soluble salts (alginates) with alkali metals such as sodium, potassium or lithium, or ammonia. These alginates are water-soluble in aqueous medium at pH 4 but dissociate into alginic acid at a pH below 4.
5
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
",Alginic acid,is composed of,B-D-mannuronic acid and a-L-glucuronic acid,0.87,,,
"Alginates The composition according to the invention comprises at least one polymer selected from alginic acid and alginates.
In particular, the alginate is selected from alkali metal salts or ammonium salts of alginic acid. The alginate is water-soluble.
Alginic acid, a natural substance obtained from brown algae or from certain bacteria, is a polyuronic acid composed of two uronic acids linked together via 1, 4- glycoside bonds: B-D-mannuronic acid (M) and a-L-glucuronic acid (G).
Alginic acid is capable of forming water-soluble salts (alginates) with alkali metals such as sodium, potassium or lithium, or ammonia. These alginates are water-soluble in aqueous medium at pH 4 but dissociate into alginic acid at a pH below 4.
5
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
",Alginic acid,is capable of forming,water-soluble salts (alginates) with alkali metals,0.89,,,
"Alginates The composition according to the invention comprises at least one polymer selected from alginic acid and alginates.
In particular, the alginate is selected from alkali metal salts or ammonium salts of alginic acid. The alginate is water-soluble.
Alginic acid, a natural substance obtained from brown algae or from certain bacteria, is a polyuronic acid composed of two uronic acids linked together via 1, 4- glycoside bonds: B-D-mannuronic acid (M) and a-L-glucuronic acid (G).
Alginic acid is capable of forming water-soluble salts (alginates) with alkali metals such as sodium, potassium or lithium, or ammonia. These alginates are water-soluble in aqueous medium at pH 4 but dissociate into alginic acid at a pH below 4.
5
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
",water-soluble salts (alginates),are formed with,"alkali metals such as sodium, potassium or lithium, or ammonia",0.9,,,
"Alginates The composition according to the invention comprises at least one polymer selected from alginic acid and alginates.
In particular, the alginate is selected from alkali metal salts or ammonium salts of alginic acid. The alginate is water-soluble.
Alginic acid, a natural substance obtained from brown algae or from certain bacteria, is a polyuronic acid composed of two uronic acids linked together via 1, 4- glycoside bonds: B-D-mannuronic acid (M) and a-L-glucuronic acid (G).
Alginic acid is capable of forming water-soluble salts (alginates) with alkali metals such as sodium, potassium or lithium, or ammonia. These alginates are water-soluble in aqueous medium at pH 4 but dissociate into alginic acid at a pH below 4.
5
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
",alginates,are water-soluble in,aqueous medium at pH 4,0.86,,,
"Alginates The composition according to the invention comprises at least one polymer selected from alginic acid and alginates.
In particular, the alginate is selected from alkali metal salts or ammonium salts of alginic acid. The alginate is water-soluble.
Alginic acid, a natural substance obtained from brown algae or from certain bacteria, is a polyuronic acid composed of two uronic acids linked together via 1, 4- glycoside bonds: B-D-mannuronic acid (M) and a-L-glucuronic acid (G).
Alginic acid is capable of forming water-soluble salts (alginates) with alkali metals such as sodium, potassium or lithium, or ammonia. These alginates are water-soluble in aqueous medium at pH 4 but dissociate into alginic acid at a pH below 4.
5
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
",alginates,dissociate into,alginic acid at a pH below 4,0.87,,,
"Methods for the recovery of these water-soluble salts, especially sodium alginate, from natural sources are well known, and are described, for example, in Green, U.S. Pat. No. 2,036,934, and Le Gloahec, U.S. Pat. No. 2,128,551.
Suitable aIginates have a weight-average molecular weight of about 20,000 Daltons to about 500,000 Daltons. The weight-average molecular weight is calculated by first determining the intrinsic viscosity, then using the Mark-Houwink Sakurada Equation, as in Martinsen, et al, “Comparison of Different Methods for Determination of Molecular Weights and Molecular Weight Distribution of Alginates” (Carbohydr. Polym., 15, 171-193, 1991) .
A list of various commercially available alginates, their properties, and their sources is found in Shapiro, U.S. Pat. No. 6,334,968, Table 1, column 16, line 49, to column 17, line 18, incorporated herein by reference.
",Methods for recovery,are described in,"Green, U.S. Pat. No. 2,036,934",0.9,,,
"Methods for the recovery of these water-soluble salts, especially sodium alginate, from natural sources are well known, and are described, for example, in Green, U.S. Pat. No. 2,036,934, and Le Gloahec, U.S. Pat. No. 2,128,551.
Suitable aIginates have a weight-average molecular weight of about 20,000 Daltons to about 500,000 Daltons. The weight-average molecular weight is calculated by first determining the intrinsic viscosity, then using the Mark-Houwink Sakurada Equation, as in Martinsen, et al, “Comparison of Different Methods for Determination of Molecular Weights and Molecular Weight Distribution of Alginates” (Carbohydr. Polym., 15, 171-193, 1991) .
A list of various commercially available alginates, their properties, and their sources is found in Shapiro, U.S. Pat. No. 6,334,968, Table 1, column 16, line 49, to column 17, line 18, incorporated herein by reference.
",Methods for recovery,are described in,"Le Gloahec, U.S. Pat. No. 2,128,551",0.9,,,
"Methods for the recovery of these water-soluble salts, especially sodium alginate, from natural sources are well known, and are described, for example, in Green, U.S. Pat. No. 2,036,934, and Le Gloahec, U.S. Pat. No. 2,128,551.
Suitable aIginates have a weight-average molecular weight of about 20,000 Daltons to about 500,000 Daltons. The weight-average molecular weight is calculated by first determining the intrinsic viscosity, then using the Mark-Houwink Sakurada Equation, as in Martinsen, et al, “Comparison of Different Methods for Determination of Molecular Weights and Molecular Weight Distribution of Alginates” (Carbohydr. Polym., 15, 171-193, 1991) .
A list of various commercially available alginates, their properties, and their sources is found in Shapiro, U.S. Pat. No. 6,334,968, Table 1, column 16, line 49, to column 17, line 18, incorporated herein by reference.
",Sodium alginate,is recovered from,natural sources,0.85,,,
"Methods for the recovery of these water-soluble salts, especially sodium alginate, from natural sources are well known, and are described, for example, in Green, U.S. Pat. No. 2,036,934, and Le Gloahec, U.S. Pat. No. 2,128,551.
Suitable aIginates have a weight-average molecular weight of about 20,000 Daltons to about 500,000 Daltons. The weight-average molecular weight is calculated by first determining the intrinsic viscosity, then using the Mark-Houwink Sakurada Equation, as in Martinsen, et al, “Comparison of Different Methods for Determination of Molecular Weights and Molecular Weight Distribution of Alginates” (Carbohydr. Polym., 15, 171-193, 1991) .
A list of various commercially available alginates, their properties, and their sources is found in Shapiro, U.S. Pat. No. 6,334,968, Table 1, column 16, line 49, to column 17, line 18, incorporated herein by reference.
",The weight-average molecular weight of alginates,is calculated by,determining the intrinsic viscosity,0.88,,,
"Methods for the recovery of these water-soluble salts, especially sodium alginate, from natural sources are well known, and are described, for example, in Green, U.S. Pat. No. 2,036,934, and Le Gloahec, U.S. Pat. No. 2,128,551.
Suitable aIginates have a weight-average molecular weight of about 20,000 Daltons to about 500,000 Daltons. The weight-average molecular weight is calculated by first determining the intrinsic viscosity, then using the Mark-Houwink Sakurada Equation, as in Martinsen, et al, “Comparison of Different Methods for Determination of Molecular Weights and Molecular Weight Distribution of Alginates” (Carbohydr. Polym., 15, 171-193, 1991) .
A list of various commercially available alginates, their properties, and their sources is found in Shapiro, U.S. Pat. No. 6,334,968, Table 1, column 16, line 49, to column 17, line 18, incorporated herein by reference.
",The weight-average molecular weight of alginates,is calculated using,the Mark-Houwink Sakurada Equation,0.87,,,
"Methods for the recovery of these water-soluble salts, especially sodium alginate, from natural sources are well known, and are described, for example, in Green, U.S. Pat. No. 2,036,934, and Le Gloahec, U.S. Pat. No. 2,128,551.
Suitable aIginates have a weight-average molecular weight of about 20,000 Daltons to about 500,000 Daltons. The weight-average molecular weight is calculated by first determining the intrinsic viscosity, then using the Mark-Houwink Sakurada Equation, as in Martinsen, et al, “Comparison of Different Methods for Determination of Molecular Weights and Molecular Weight Distribution of Alginates” (Carbohydr. Polym., 15, 171-193, 1991) .
A list of various commercially available alginates, their properties, and their sources is found in Shapiro, U.S. Pat. No. 6,334,968, Table 1, column 16, line 49, to column 17, line 18, incorporated herein by reference.
","Martinsen, et al",describes,Comparison of Different Methods for Determination of Molecular Weights and Molecular Weight Distribution of Alginates,0.89,,,
"Methods for the recovery of these water-soluble salts, especially sodium alginate, from natural sources are well known, and are described, for example, in Green, U.S. Pat. No. 2,036,934, and Le Gloahec, U.S. Pat. No. 2,128,551.
Suitable aIginates have a weight-average molecular weight of about 20,000 Daltons to about 500,000 Daltons. The weight-average molecular weight is calculated by first determining the intrinsic viscosity, then using the Mark-Houwink Sakurada Equation, as in Martinsen, et al, “Comparison of Different Methods for Determination of Molecular Weights and Molecular Weight Distribution of Alginates” (Carbohydr. Polym., 15, 171-193, 1991) .
A list of various commercially available alginates, their properties, and their sources is found in Shapiro, U.S. Pat. No. 6,334,968, Table 1, column 16, line 49, to column 17, line 18, incorporated herein by reference.
",Comparison of Different Methods for Determination of Molecular Weights and Molecular Weight Distribution of Alginates,is found in,"Carbohydr. Polym., 15, 171-193, 1991",0.92,,,
"Methods for the recovery of these water-soluble salts, especially sodium alginate, from natural sources are well known, and are described, for example, in Green, U.S. Pat. No. 2,036,934, and Le Gloahec, U.S. Pat. No. 2,128,551.
Suitable aIginates have a weight-average molecular weight of about 20,000 Daltons to about 500,000 Daltons. The weight-average molecular weight is calculated by first determining the intrinsic viscosity, then using the Mark-Houwink Sakurada Equation, as in Martinsen, et al, “Comparison of Different Methods for Determination of Molecular Weights and Molecular Weight Distribution of Alginates” (Carbohydr. Polym., 15, 171-193, 1991) .
A list of various commercially available alginates, their properties, and their sources is found in Shapiro, U.S. Pat. No. 6,334,968, Table 1, column 16, line 49, to column 17, line 18, incorporated herein by reference.
",A list of various commercially available alginates,is found in,"Shapiro, U.S. Pat. No. 6,334,968",0.91,,,
